layer,relation,player_id,start_date,end_date,unique_dates,span_days,unobserved_span_days
gold,player_day_features,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-01-01,2021-12-31,731,731,0
gold,player_day_features,TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,2020-01-01,2021-12-31,731,731,0
gold,player_day_features,TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,2020-01-01,2021-12-31,731,731,0
gold,player_day_features,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2020-01-01,2021-12-31,731,731,0
gold,player_day_features,TeamB-f67673c0-d467-4832-9519-55133a2647e5,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,2020-01-01,2021-12-31,731,731,0
gold,player_day_labels,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,2020-01-01,2021-12-31,731,731,0
