feature_left,feature_right,pairwise_count,pearson,spearman,abs_spearman
daily_load_sum_3d_log1p,readiness,16997,0.10889085229093826,0.017963610637903686,0.017963610637903686
readiness,daily_load_sum_7d_log1p,16997,0.09542632212279939,0.027508619325458696,0.027508619325458696
daily_load_sum_7d_log1p,readiness,16997,0.09542632212279939,0.027508619325458696,0.027508619325458696
readiness,daily_load_sum_14d_log1p,16997,0.0666717239990747,0.028289885472036782,0.028289885472036782
daily_load_sum_14d_log1p,readiness,16997,0.0666717239990747,0.028289885472036782,0.028289885472036782
readiness,daily_load_sum_28d_log1p,16997,0.03016698624020244,0.02060204595464034,0.02060204595464034
daily_load_sum_28d_log1p,readiness,16997,0.03016698624020244,0.02060204595464034,0.02060204595464034
readiness,session_duration_sum_3d_log1p,16997,0.12259695650690147,0.07164887478106474,0.07164887478106474
session_duration_sum_3d_log1p,readiness,16997,0.12259695650690147,0.07164887478106474,0.07164887478106474
readiness,session_duration_sum_7d_log1p,16997,0.10884251784479441,0.08175150479191953,0.08175150479191953
session_duration_sum_7d_log1p,readiness,16997,0.10884251784479441,0.08175150479191953,0.08175150479191953
readiness,session_duration_sum_14d_log1p,16997,0.08120367144302607,0.08240758297722628,0.08240758297722628
session_duration_sum_14d_log1p,readiness,16997,0.08120367144302607,0.08240758297722628,0.08240758297722628
readiness,session_duration_sum_28d_log1p,16997,0.04717984516622283,0.07616308542658379,0.07616308542658379
session_duration_sum_28d_log1p,readiness,16997,0.04717984516622283,0.07616308542658379,0.07616308542658379
readiness,session_srpe_sum_3d_log1p,16997,0.11198567883379615,0.029308899749543375,0.029308899749543375
session_srpe_sum_3d_log1p,readiness,16997,0.11198567883379615,0.029308899749543375,0.029308899749543375
readiness,session_srpe_sum_7d_log1p,16997,0.09977550940101411,0.043262320314973936,0.043262320314973936
session_srpe_sum_7d_log1p,readiness,16997,0.09977550940101411,0.043262320314973936,0.043262320314973936
readiness,session_srpe_sum_14d_log1p,16997,0.07210058800976284,0.04436821186951454,0.04436821186951454
session_srpe_sum_14d_log1p,readiness,16997,0.07210058800976284,0.04436821186951454,0.04436821186951454
readiness,session_srpe_sum_28d_log1p,16997,0.03639408565885648,0.03626267072736929,0.03626267072736929
session_srpe_sum_28d_log1p,readiness,16997,0.03639408565885648,0.03626267072736929,0.03626267072736929
wellness_metric_count,wellness_metric_count,36550,1.0,1.0,1.0
wellness_metric_count,session_count,36550,0.6109612056966591,0.6515658366835234,0.6515658366835234
session_count,wellness_metric_count,36550,0.6109612056966591,0.6515658366835234,0.6515658366835234
wellness_metric_count,session_duration_minutes,36550,0.5909122424597484,0.6368797981223615,0.6368797981223615
session_duration_minutes,wellness_metric_count,36550,0.5909122424597484,0.6368797981223615,0.6368797981223615
wellness_metric_count,session_srpe,36550,0.5419560962885368,0.6345875596665915,0.6345875596665915
session_srpe,wellness_metric_count,36550,0.5419560962885368,0.6345875596665915,0.6345875596665915
wellness_metric_count,daily_load_sum_3d,36550,0.6753548905721497,0.7384545322865549,0.7384545322865549
daily_load_sum_3d,wellness_metric_count,36550,0.6753548905721497,0.7384545322865549,0.7384545322865549
wellness_metric_count,daily_load_sum_7d,36550,0.7222454861597618,0.7480256139123176,0.7480256139123176
